region,population
Afghanistan,37172386.0
Albania,2866376.0
Algeria,42228429.0
Andorra,77006.0
Argentina,44494502.0
Armenia,2951776.0
Australia,24992369.0
Austria,8847037.0
Azerbaijan,9942334.0
Bahrain,1569439.0
Bangladesh,161356039.0
Belarus,9485386.0
Belgium,11422068.0
Bhutan,754394.0
Bolivia,11353142.0
Bosnia and Herzegovina,3323929.0
Brazil,209469333.0
Brunei,428962.0
Bulgaria,7024216.0
Burkina Faso,19751535.0
Cambodia,16249798.0
Cameroon,25216237.0
Canada,37058856.0
Chile,18729160.0
China,1392730000.0
Colombia,49648685.0
Congo (Kinshasa),84068091.0
Costa Rica,4999441.0
Cote d'Ivoire,25069229.0
Croatia,4089400.0
Cyprus,1189265.0
Denmark,5797446.0
Dominican Republic,10627165.0
Ecuador,17084357.0
Egypt,98423595.0
Estonia,1320884.0
Finland,5518050.0
France,66987244.0
Georgia,3731000.0
Germany,82927922.0
Greece,10727668.0
Honduras,9587522.0
Hungary,9768785.0
Iceland,353574.0
India,1352617328.0
Indonesia,267663435.0
Iran,81800269.0
Iraq,38433600.0
Ireland,4853506.0
Israel,8883800.0
Italy,60431283.0
Jamaica,2934855.0
Japan,126529100.0
Jordan,9956011.0
"Korea, South",51635256.0
Kuwait,4137309.0
Latvia,1926542.0
Lebanon,6848925.0
Liechtenstein,37910.0
Lithuania,2789533.0
Luxembourg,607728.0
Malaysia,31528585.0
Maldives,515696.0
Malta,483530.0
Mexico,126190788.0
Moldova,3545883.0
Monaco,38682.0
Mongolia,3170208.0
Morocco,36029138.0
Nepal,28087871.0
Netherlands,17231017.0
New Zealand,4885500.0
Nigeria,195874740.0
North Macedonia,2082958.0
Norway,5314336.0
Oman,4829483.0
Pakistan,212215030.0
Panama,4176873.0
Paraguay,6956071.0
Peru,31989256.0
Philippines,106651922.0
Poland,37978548.0
Portugal,10281762.0
Qatar,2781677.0
Romania,19473936.0
Russia,144478050.0
San Marino,33785.0
Saudi Arabia,33699947.0
Senegal,15854360.0
Serbia,6982084.0
Singapore,5638676.0
Slovakia,5447011.0
Slovenia,2067372.0
South Africa,57779622.0
Spain,46723749.0
Sri Lanka,21670000.0
Sweden,10183175.0
Switzerland,8516543.0
Thailand,69428524.0
Togo,7889094.0
Tunisia,11565204.0
Turkey,82319724.0
Ukraine,44622516.0
United Arab Emirates,9630959.0
United Kingdom,66488991.0
US,327167434.0
Vietnam,95540395.0
